metric_group,metric_name,asset,pair,stage,trade_action,value,sample_size,window,notes
prealert,prealert_candidate_count,,,,,136,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_gate_passed_count,,,,,136,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_delivered_count,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
prealert,major_first_leg_prealert_count,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
prealert,major_prealert_count,,,,,1,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
prealert,non_major_prealert_count,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_to_confirm_30s,,,,,0.0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_to_confirm_60s,,,,,1.0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
prealert,prealert_to_confirm_90s,,,,,1.0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,live_public_count,,,,,136,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,unavailable_count,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,live_public_rate,,,,,1.0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,unavailable_rate,,,,,0.0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,okx_attempts,,,,,741,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,okx_success,,,,,740,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,okx_failure,,,,,1,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,kraken_attempts,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,kraken_success,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,kraken_failure,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,binance_attempts,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
