metric_group,metric_name,asset,pair,stage,trade_action,value,sample_size,window,notes
run_overview,analysis_window_start,,,,,2026-04-22 16:05:04 UTC,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
run_overview,analysis_window_end,,,,,2026-04-23 05:16:15 UTC,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
run_overview,duration_hours,,,,,13.19,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
run_overview,total_raw_events,,,,,39649,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
run_overview,total_parsed_events,,,,,19055,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
run_overview,total_signal_rows,,,,,508,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
run_overview,lp_signal_rows,,,,,153,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
run_overview,delivered_lp_signals,,,,,42,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
run_overview,asset_case_count,,,,,35,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
run_overview,case_followup_count,,,,,45,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
lp_stage,stage_distribution_pct,,,prealert,,0.0,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
lp_stage,stage_distribution_pct,,,confirm,,69.93,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
lp_stage,stage_distribution_pct,,,climax,,22.22,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
lp_stage,stage_distribution_pct,,,exhaustion_risk,,7.84,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
lp_stage,prealert_count,,,,,0,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
lp_stage,confirm_count,,,,,107,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
lp_stage,climax_count,,,,,34,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
lp_stage,exhaustion_risk_count,,,,,12,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
trade_action,trade_action_distribution,,,,CONFLICT_NO_TRADE,18,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
trade_action,trade_action_distribution,,,,DO_NOT_CHASE_LONG,21,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
trade_action,trade_action_distribution,,,,DO_NOT_CHASE_SHORT,57,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
trade_action,trade_action_distribution,,,,LONG_BIAS_OBSERVE,12,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
trade_action,trade_action_distribution,,,,LONG_CHASE_ALLOWED,3,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
trade_action,trade_action_distribution,,,,SHORT_BIAS_OBSERVE,36,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
trade_action,trade_action_distribution,,,,SHORT_CHASE_ALLOWED,1,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
trade_action,trade_action_distribution,,,,WAIT_CONFIRMATION,5,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
trade_action,long_chase_allowed_count,,,,,3,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
trade_action,short_chase_allowed_count,,,,,1,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
trade_action,no_trade_count,,,,,0,153,2026-04-22 16:05:04 UTC -> 2026-04-23 05:16:15 UTC,
