metric_group,metric_name,asset,pair,stage,trade_action,value,sample_size,window,notes
run_overview,analysis_window_start,,,,,2026-04-23 00:00:27 UTC,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,analysis_window_end,,,,,2026-04-24 15:51:50 UTC,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,duration_hours,,,,,39.86,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,total_raw_events,,,,,85477,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,total_parsed_events,,,,,45164,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,total_signal_rows,,,,,1207,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,lp_signal_rows,,,,,303,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,delivered_lp_signals,,,,,95,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,asset_case_count,,,,,82,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,case_followup_count,,,,,130,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,stage_distribution_pct,,,prealert,,0.0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,stage_distribution_pct,,,confirm,,54.79,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,stage_distribution_pct,,,climax,,30.03,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,stage_distribution_pct,,,exhaustion_risk,,15.18,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,prealert_count,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,confirm_count,,,,,166,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,climax_count,,,,,91,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,exhaustion_risk_count,,,,,46,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,trade_action_distribution,,,,CONFLICT_NO_TRADE,25,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,trade_action_distribution,,,,DO_NOT_CHASE_LONG,58,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,trade_action_distribution,,,,DO_NOT_CHASE_SHORT,91,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,trade_action_distribution,,,,LONG_BIAS_OBSERVE,54,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,trade_action_distribution,,,,LONG_CHASE_ALLOWED,3,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,trade_action_distribution,,,,SHORT_BIAS_OBSERVE,66,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,trade_action_distribution,,,,WAIT_CONFIRMATION,6,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,long_chase_allowed_count,,,,,3,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,short_chase_allowed_count,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,no_trade_count,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,wait_confirmation_count,,,,,6,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,data_gap_no_trade_count,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,conflict_no_trade_count,,,,,25,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,do_not_chase_long_count,,,,,58,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,do_not_chase_short_count,,,,,91,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,long_bias_observe_count,,,,,54,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,short_bias_observe_count,,,,,66,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,reversal_watch_long_count,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,reversal_watch_short_count,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,telegram_action_first_rate,,,,,1.0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action,trade_action_present_rate,,,,,1.0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action_outcome,chase_allowed_30s_followthrough_rate,,,,,0.6667,3,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action_outcome,chase_allowed_60s_followthrough_rate,,,,,0.0,3,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action_outcome,chase_allowed_300s_followthrough_rate,,,,,0.0,3,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action_outcome,chase_allowed_adverse_30s_rate,,,,,0.3333,3,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action_outcome,chase_allowed_adverse_60s_rate,,,,,0.6667,3,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action_outcome,chase_allowed_adverse_300s_rate,,,,,1.0,3,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
trade_action_outcome,do_not_chase_would_have_lost_rate,,,,,0.4295,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,preferred 60s window
trade_action_outcome,no_trade_conflict_adverse_rate,,,,,0.56,25,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,preferred 60s window
trade_action_outcome,wait_confirmation_upgrade_rate,,,,,0.1667,6,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,within 90s same asset-case
prealert,prealert_candidate_count,,,,,303,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
prealert,prealert_gate_passed_count,,,,,303,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
prealert,prealert_delivered_count,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
prealert,major_first_leg_prealert_count,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
prealert,major_prealert_count,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
prealert,non_major_prealert_count,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
prealert,prealert_to_confirm_30s,,,,,,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
prealert,prealert_to_confirm_60s,,,,,,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
prealert,prealert_to_confirm_90s,,,,,,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
market_context,live_public_count,,,,,303,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
market_context,unavailable_count,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
market_context,live_public_rate,,,,,1.0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
market_context,unavailable_rate,,,,,0.0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
market_context,okx_attempts,,,,,1820,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
market_context,okx_success,,,,,1818,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
market_context,okx_failure,,,,,2,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
market_context,kraken_attempts,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
market_context,kraken_success,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
market_context,kraken_failure,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
market_context,binance_attempts,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
market_context,bybit_attempts,,,,,0,303,2026-04-23 00:00:27 UTC -> 2026-04-24 15:51:50 UTC,
