metric_group,metric_name,asset,pair,state,opportunity_status,value,sample_size,window,notes
trade_opportunity,conflict_blocked_count,,,,,0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
trade_opportunity,blocker_avoided_adverse_rate,,,,,,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
trade_opportunity,creation_status_distribution,,,,BLOCKED,15,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
trade_opportunity,creation_status_distribution,,,,NONE,121,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
telegram_suppression,telegram_should_send_count,,,,,9,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
telegram_suppression,telegram_suppressed_count,,,,,129,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
telegram_suppression,telegram_suppression_ratio,,,,,0.9485,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
telegram_suppression,telegram_suppression_reasons,,,,,"{""no_trade_opportunity"": 121, ""same_blocker_repeat"": 6}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
telegram_suppression,messages_before_suppression_estimate,,,,,136,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
telegram_suppression,messages_after_suppression_actual,,,,,7,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
telegram_suppression,delivered_lp_signals,,,,,7,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
telegram_suppression,suppressed_lp_signals,,,,,129,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
telegram_suppression,telegram_update_kind_distribution,,,,,"{""risk_blocker"": 9, ""suppressed"": 127}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,state_distribution,,,DO_NOT_CHASE_LONG,,30,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,state_distribution,,,DO_NOT_CHASE_SHORT,,29,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,state_distribution,,,NO_TRADE_CHOP,,3,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,state_distribution,,,NO_TRADE_LOCK,,13,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,state_distribution,,,OBSERVE_LONG,,37,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,state_distribution,,,OBSERVE_SHORT,,22,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,state_distribution,,,SHORT_CANDIDATE,,1,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,state_distribution,,,WAIT_CONFIRMATION,,1,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,state_transition_count,,,,,63,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,no_trade_lock_entered_count,,,,,4,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,no_trade_lock_suppressed_count,,,,,0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,no_trade_lock_released_count,,,,,123,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
asset_market_state,final_state_by_asset,,,,,"{""ETH"": {""state"": ""OBSERVE_LONG"", ""label"": ""偏多观察"", ""updated_at_utc"": ""2026-04-21T05:08:56+00:00"", ""telegram_update_kind"": ""suppressed""}}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,prealert_candidate_count,,,,,136,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,prealert_gate_passed_count,,,,,136,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,prealert_active_count,,,,,1,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,prealert_delivered_count,,,,,0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,prealert_upgraded_to_confirm_count,,,,,4,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,prealert_expired_count,,,,,0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,median_prealert_to_confirm_sec,,,,,48.0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,prealert_stage_count,,,,,1,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,lifecycle_distribution,,,,,"{""active"": 1, ""merged"": 59, ""upgraded_to_confirm"": 76}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,gate_fail_reasons,,,,,{},136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,delivery_block_reasons,,,,,"{""no_trade_opportunity"": 116, ""same_blocker_repeat"": 5, ""stage_budget_observe_tier2_tier_cap"": 8}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,stage_overwritten_count,,,,,135,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
prealert,asset_case_preserved_count,,,,,5,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
outcome,outcome_30s_completed_rate,,,,,0.4559,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
outcome,outcome_30s_completed_count,,,,,62,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
outcome,outcome_30s_status_distribution,,,,,"{""completed"": 62, ""expired"": 72, ""pending"": 2}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
outcome,outcome_60s_completed_rate,,,,,0.4118,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
outcome,outcome_60s_completed_count,,,,,56,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
