metric_group,metric_name,asset,pair,stage,value,sample_size,window,notes
run_overview,analysis_window_start,,,,2026-04-23 16:42:06 UTC,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,analysis_window_end,,,,2026-04-24 15:51:50 UTC,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,duration_hours,,,,23.16,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,total_signal_rows,,,,914,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,lp_signal_rows,,,,197,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,delivered_lp_signals,,,,67,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,asset_case_count,,,,62,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,case_followup_count,,,,67,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,compression_ratio,,,,3.1774,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
run_overview,avg_signals_per_case,,,,3.1774,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,prealert_count,,,,0,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,confirm_count,,,,92,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,climax_count,,,,66,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,exhaustion_risk_count,,,,39,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,stage_distribution_pct,,,prealert,0.0,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,stage_distribution_pct,,,confirm,46.7,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,stage_distribution_pct,,,climax,33.5,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
lp_stage,stage_distribution_pct,,,exhaustion_risk,19.8,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
market_context,live_public_count,,,,197,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
market_context,unavailable_count,,,,0,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
market_context,live_public_rate,,,,1.0,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
market_context,unavailable_rate,,,,0.0,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
market_context,okx_attempts,,,,1184,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
market_context,okx_success,,,,1182,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
market_context,okx_failure,,,,2,197,2026-04-23 16:42:06 UTC -> 2026-04-24 15:51:50 UTC,
