metric_group,metric_name,today_value,previous_value,abs_change,pct_change,interpretation,data_source,notes
telegram_denoise,messages_after_suppression_actual,0,7,-7.0,-100.0,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""telegram_suppression_summary.messages_before_after_suppression_estimate.sent_telegram_messages"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""telegram_suppression_summary.messages_after_suppression_actual"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:telegram_suppression_summary.messages_before_after_suppression_estimate.sent_telegram_messages->telegram_suppression_summary.messages_after_suppression_actual | source_report_changed:overnight_trade_action->afternoon_evening_state
telegram_denoise,high_value_suppressed_count,2,,,,previous 字段缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": ""telegram_suppression_summary.high_value_suppressed_count"", ""report_type"": ""afternoon_evening_state""}}",
telegram_denoise,legacy_chase_leaked_count,4,0,4.0,,退步：指标上升,"{""previous"": {""path"": ""final_trading_output_summary.legacy_chase_leaked_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""final_trading_output_summary.legacy_chase_leaked_count"", ""report_type"": ""overnight_trade_action""}}",
asset_market_state,state_distribution,"{""DO_NOT_CHASE_LONG"": 1, ""OBSERVE_LONG"": 3}","{""DO_NOT_CHASE_LONG"": 30, ""DO_NOT_CHASE_SHORT"": 29, ""NO_TRADE_CHOP"": 3, ""NO_TRADE_LOCK"": 13, ""OBSERVE_LONG"": 37, ""OBSERVE_SHORT"": 22, ""SHORT_CANDIDATE"": 1, ""WAIT_CONFIRMATION"": 1}",,,结构化内容变化；需人工查看差异,"{""previous"": {""path"": ""asset_market_state_summary.state_distribution"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""asset_market_state_summary.state_distribution"", ""report_type"": ""afternoon_evening_state""}}",source_report_changed:overnight_trade_action->afternoon_evening_state
asset_market_state,state_transition_count,2,63,-61.0,-96.83,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""asset_market_state_summary.state_change_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""asset_market_state_summary.state_transition_count"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:asset_market_state_summary.state_change_count->asset_market_state_summary.state_transition_count | source_report_changed:overnight_trade_action->afternoon_evening_state
asset_market_state,final_state_by_asset,"{""ETH"": {""state_key"": ""OBSERVE_LONG"", ""state_label"": ""偏多观察"", ""telegram_update_kind"": ""suppressed"", ""updated_at"": 1776835290, ""updated_at_beijing"": ""2026-04-22 13:21:30 UTC+08:00"", ""updated_at_utc"": ""2026-04-22 05:21:30 UTC""}}","{""ETH"": {""state_key"": ""OBSERVE_LONG"", ""state_label"": ""偏多观察"", ""telegram_should_send"": false, ""telegram_update_kind"": ""suppressed"", ""updated_at"": 1776748136}}",,,结构化内容变化；需人工查看差异,"{""previous"": {""path"": ""asset_market_state_summary.current_final_state_per_asset"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""asset_market_state_summary.final_state_by_asset"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:asset_market_state_summary.current_final_state_per_asset->asset_market_state_summary.final_state_by_asset | source_report_changed:overnight_trade_action->afternoon_evening_state
asset_market_state,no_trade_lock_entered_count,0,4,-4.0,-100.0,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""no_trade_lock_summary.lock_entered_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""no_trade_lock_summary.lock_entered_count"", ""report_type"": ""afternoon_evening_state""}}",source_report_changed:overnight_trade_action->afternoon_evening_state
asset_market_state,no_trade_lock_suppressed_count,0,0,0.0,,与 previous 持平,"{""previous"": {""path"": ""no_trade_lock_summary.suppressed_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""no_trade_lock_summary.lock_suppressed_count"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:no_trade_lock_summary.suppressed_count->no_trade_lock_summary.lock_suppressed_count | source_report_changed:overnight_trade_action->afternoon_evening_state
asset_market_state,no_trade_lock_released_count,0,123,-123.0,-100.0,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""no_trade_lock_summary.release_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""no_trade_lock_summary.lock_released_count"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:no_trade_lock_summary.release_count->no_trade_lock_summary.lock_released_count | source_report_changed:overnight_trade_action->afternoon_evening_state
trade_action_opportunity,trade_action_distribution,"{""DO_NOT_CHASE_LONG"": 1, ""LONG_BIAS_OBSERVE"": 3}","{""CONFLICT_NO_TRADE"": 8, ""DO_NOT_CHASE_LONG"": 31, ""DO_NOT_CHASE_SHORT"": 33, ""LONG_BIAS_OBSERVE"": 38, ""SHORT_BIAS_OBSERVE"": 24, ""SHORT_CHASE_ALLOWED"": 1, ""WAIT_CONFIRMATION"": 1}",,,结构化内容变化；需人工查看差异,"{""previous"": {""path"": ""trade_action_summary.trade_action_distribution"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""trade_action_summary.trade_action_distribution"", ""report_type"": ""afternoon_evening_state""}}",source_report_changed:overnight_trade_action->afternoon_evening_state
trade_action_opportunity,opportunity_none_count,264,398,-134.0,-33.67,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""trade_opportunity_summary.opportunity_none_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""trade_opportunity_summary.opportunity_none_count"", ""report_type"": ""afternoon_evening_state""}}",source_report_changed:overnight_trade_action->afternoon_evening_state
trade_action_opportunity,opportunity_candidate_count,0,3,-3.0,-100.0,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""trade_opportunity_summary.opportunity_candidate_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""trade_opportunity_summary.opportunity_candidate_count"", ""report_type"": ""afternoon_evening_state""}}",source_report_changed:overnight_trade_action->afternoon_evening_state
trade_action_opportunity,opportunity_verified_count,0,0,0.0,,与 previous 持平,"{""previous"": {""path"": ""trade_opportunity_summary.opportunity_verified_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""trade_opportunity_summary.opportunity_verified_count"", ""report_type"": ""afternoon_evening_state""}}",source_report_changed:overnight_trade_action->afternoon_evening_state
trade_action_opportunity,opportunity_blocked_count,68,84,-16.0,-19.05,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""trade_opportunity_summary.opportunity_blocked_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""trade_opportunity_summary.opportunity_blocked_count"", ""report_type"": ""afternoon_evening_state""}}",source_report_changed:overnight_trade_action->afternoon_evening_state
trade_action_opportunity,opportunity_invalidated_count,,,,,today/previous 字段都缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": null, ""report_type"": null}}",
trade_action_opportunity,candidate_to_verified_rate,,0.0,,,today 字段缺失，无法判断,"{""previous"": {""path"": ""trade_opportunity_summary.opportunity_candidate_to_verified_rate"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": null, ""report_type"": null}}",
