[2026-06-14T14:02:46.396841Z] backfill: cur=25316192 window blocks [22578192,25206192] pools=4 chunk=10000
[2026-06-14T14:02:46.408731Z] threaded backfill: 1052 tasks remaining of 1052 (8 workers)
[2026-06-14T14:28:51.501559Z]   ts batch failed permanently (blocks 23865942..23876450)
[2026-06-14T14:28:51.539845Z]   ts batch failed permanently (blocks 23565486..23692602)
[2026-06-14T14:28:51.713263Z]   ts batch failed permanently (blocks 23887706..23894651)
[2026-06-14T14:28:52.670810Z]   ts batch failed permanently (blocks 23877165..23887282)
[2026-06-14T14:28:57.278775Z]   ts batch failed permanently (blocks 23694931..23821775)
[2026-06-14T14:28:57.491323Z]   ts batch failed permanently (blocks 23894837..23900370)
[2026-06-14T14:29:28.599178Z]   ts batch failed permanently (blocks 23913545..23917968)
[2026-06-14T14:29:28.740449Z]   ts batch failed permanently (blocks 23918133..23923647)
[2026-06-14T14:29:30.154908Z]   ts batch failed permanently (blocks 23909121..23913381)
[2026-06-14T14:29:30.290501Z]   ts batch failed permanently (blocks 23905039..23908959)
[2026-06-14T14:30:14.061939Z] timestamps: 4248 unique burn-blocks, 4248 to fetch (threaded)
[2026-06-14T14:31:19.840700Z]   ts batch partial: 12 blocks unresolved (e.g. 22649469)
[2026-06-14T14:31:20.443403Z]   ts batch partial: 12 blocks unresolved (e.g. 23049676)
[2026-06-14T14:31:20.722813Z]   ts batch partial: 12 blocks unresolved (e.g. 22579959)
[2026-06-14T14:31:22.118476Z]   ts batch partial: 12 blocks unresolved (e.g. 22922561)
[2026-06-14T14:31:22.539229Z]   ts batch partial: 12 blocks unresolved (e.g. 22721526)
[2026-06-14T14:31:22.634759Z]   ts batch partial: 12 blocks unresolved (e.g. 22798380)
[2026-06-14T14:31:24.329951Z]   ts batch partial: 12 blocks unresolved (e.g. 22874917)
[2026-06-14T14:31:24.625404Z]   ts batch partial: 12 blocks unresolved (e.g. 22997745)
[2026-06-14T14:32:25.908022Z]   ts batch partial: 12 blocks unresolved (e.g. 23072683)
[2026-06-14T14:32:27.857723Z]   ts batch partial: 12 blocks unresolved (e.g. 23163704)
[2026-06-14T14:32:28.216672Z]   ts batch partial: 12 blocks unresolved (e.g. 23120883)
[2026-06-14T14:32:28.918951Z]   ts batch partial: 12 blocks unresolved (e.g. 23212844)
[2026-06-14T14:32:30.065568Z]   ts batch partial: 12 blocks unresolved (e.g. 23316433)
[2026-06-14T14:32:30.190485Z]   ts batch partial: 12 blocks unresolved (e.g. 23343078)
[2026-06-14T14:32:32.218002Z]   ts batch partial: 12 blocks unresolved (e.g. 23403879)
[2026-06-14T14:32:32.958756Z]   ts batch partial: 12 blocks unresolved (e.g. 23250023)
[2026-06-14T14:33:41.134105Z] timestamps: 4248 unique burn-blocks, 4248 to fetch (threaded)
[2026-06-14T14:34:49.071480Z]   ts batch partial: 12 blocks unresolved (e.g. 22721526)
[2026-06-14T14:34:49.504648Z]   ts batch partial: 12 blocks unresolved (e.g. 22579959)
[2026-06-14T14:34:50.032389Z]   ts batch partial: 12 blocks unresolved (e.g. 22649469)
[2026-06-14T14:34:50.560084Z]   ts batch partial: 12 blocks unresolved (e.g. 22798380)
[2026-06-14T14:35:57.892883Z]   ts batch partial: 12 blocks unresolved (e.g. 22997745)
[2026-06-14T14:35:58.091351Z]   ts batch partial: 12 blocks unresolved (e.g. 22922561)
[2026-06-14T14:35:58.496009Z]   ts batch partial: 12 blocks unresolved (e.g. 22874917)
